DateTime,Food_Amount_gr,Location_Id,Remaining_Time,1,2,3,4
2020-10-10 01:00:00,972,0,16.0,0,0,0,0
2020-10-10 02:00:00,885,0,15.0,0,0,0,0
2020-10-10 03:00:00,798,0,14.0,0,0,0,0
2020-10-10 04:00:00,775,0,13.0,0,0,0,0
2020-10-10 05:00:00,684,0,12.0,0,0,0,0
2020-10-10 06:00:00,608,0,11.0,0,0,0,0
2020-10-10 07:00:00,559,0,10.0,0,0,0,0
2020-10-10 08:00:00,491,0,9.0,0,0,0,0
2020-10-10 09:00:00,439,0,8.0,0,0,0,0
2020-10-10 10:00:00,395,0,7.0,0,0,0,0
2020-10-10 11:00:00,301,0,6.0,0,0,0,0
2020-10-10 12:00:00,272,0,5.0,0,0,0,0
2020-10-10 13:00:00,201,0,4.0,0,0,0,0
2020-10-10 14:00:00,170,0,3.0,0,0,0,0
2020-10-10 15:00:00,95,0,2.0,0,0,0,0
2020-10-10 16:00:00,13,0,17.0,0,0,0,0
2020-10-10 17:00:00,0,0,16.0,0,0,0,0
2020-10-10 18:00:00,911,0,15.0,0,0,0,0
2020-10-10 19:00:00,843,0,14.0,0,0,0,0
2020-10-10 20:00:00,795,0,13.0,0,0,0,0
2020-10-10 21:00:00,755,0,12.0,0,0,0,0
2020-10-10 22:00:00,727,0,11.0,0,0,0,0
2020-10-10 23:00:00,669,0,10.0,0,0,0,0
2020-10-11 00:00:00,584,0,9.0,0,0,0,0
2020-10-11 01:00:00,563,0,8.0,0,0,0,0
2020-10-11 02:00:00,464,0,7.0,0,0,0,0
2020-10-11 03:00:00,375,0,6.0,0,0,0,0
2020-10-11 04:00:00,281,0,5.0,0,0,0,0
2020-10-11 05:00:00,188,0,4.0,0,0,0,0
2020-10-11 06:00:00,106,0,3.0,0,0,0,0
2020-10-11 07:00:00,65,0,2.0,0,0,0,0
2020-10-11 08:00:00,16,0,19.0,0,0,0,0
2020-10-11 09:00:00,0,0,18.0,0,0,0,0
2020-10-11 10:00:00,942,0,17.0,0,0,0,0
2020-10-11 11:00:00,900,0,16.0,0,0,0,0
2020-10-11 12:00:00,817,0,15.0,0,0,0,0
2020-10-11 13:00:00,776,0,14.0,0,0,0,0
2020-10-11 14:00:00,688,0,13.0,0,0,0,0
2020-10-11 15:00:00,662,0,12.0,0,0,0,0
